POID,Date,TruckID,PartName,Quantity,UnitCost,TotalCost
PO00230,1/25/2024,2516,EGR Valve,3,150.53,451.59
PO00231,1/25/2024,2516,Engine Oil,4,32.49,129.96
PO00232,1/25/2024,2516,Transmission Fluid,1,31.98,31.98
PO00233,1/13/2024,2516,Engine Oil,2,38.04,76.08
PO00234,1/13/2024,2516,Belt,1,21.05,21.05
PO00235,1/26/2024,2516,Coolant,3,29.32,87.96
PO00236,1/26/2024,2516,Air Hose,3,37.72,113.16
PO00237,1/26/2024,2516,Suspension Kit,3,366.47,1099.41
PO00238,1/9/2024,2516,Headlight,4,40.86,163.44
PO00239,1/9/2024,2516,Suspension Kit,4,362.4,1449.6
PO00240,1/6/2024,2516,Turbocharger,4,1471.3,5885.2
PO00241,1/6/2024,2516,Belt,1,42.91,42.91
PO00242,1/17/2024,2516,Oil Filter,2,6.86,13.72
PO00243,1/17/2024,2516,Turbocharger,1,1275.82,1275.82
PO00244,1/17/2024,2516,Air Hose,1,24,24
PO00245,1/8/2024,2517,Headlight,1,87.68,87.68
PO00246,1/8/2024,2517,Engine Oil,4,40.38,161.52
PO00247,1/4/2024,2517,Belt,3,27.38,82.14
PO00248,1/4/2024,2517,Transmission Fluid,1,34.65,34.65
PO00249,1/4/2024,2517,Tire,4,349.74,1398.96
PO00250,1/23/2024,2517,EGR Valve,1,282.39,282.39
PO00251,1/3/2024,2517,Oil Filter,2,12.02,24.04
PO00252,1/3/2024,2517,Air Hose,4,35.59,142.36
PO00253,1/14/2024,2517,Coolant,3,47.2,141.6
PO00254,1/14/2024,2517,EGR Valve,4,263.28,1053.12
PO00255,1/5/2024,2518,Engine Oil,1,49.36,49.36
PO00256,1/27/2024,2518,Fuel Filter,4,23.1,92.4
PO00257,1/27/2024,2518,Air Hose,3,20.15,60.45
PO00258,1/27/2024,2518,EGR Valve,3,172.02,516.06
PO00259,1/18/2024,2518,Turbocharger,2,819.02,1638.04
PO00260,1/18/2024,2518,Brake Pads,1,115.38,115.38
PO00261,1/18/2024,2518,Headlight,2,73.9,147.8
PO00262,1/6/2024,2518,Suspension Kit,2,322.15,644.3
PO00263,1/6/2024,2518,Engine Oil,3,63.64,190.92
PO00264,1/6/2024,2518,Coolant,4,27.88,111.52
PO00265,1/15/2024,2518,Coolant,4,36.3,145.2
PO00266,1/6/2024,2519,Tire,1,365.81,365.81
PO00267,1/6/2024,2519,Fuel Filter,4,17.75,71
PO00268,1/15/2024,2519,Belt,2,32.65,65.3
PO00269,1/15/2024,2519,EGR Valve,4,293.24,1172.96
PO00270,1/15/2024,2519,Tire,3,429.32,1287.96
PO00271,1/6/2024,2519,Air Hose,3,29.54,88.62
PO00272,1/6/2024,2519,Suspension Kit,4,311.1,1244.4
PO00273,1/6/2024,2519,Turbocharger,1,1150.61,1150.61
PO00274,1/4/2024,2519,Fuel Filter,2,19.25,38.5
PO00275,1/4/2024,2519,Suspension Kit,4,239.82,959.28
PO00276,1/4/2024,2519,Air Hose,2,35.99,71.98
PO00277,1/6/2024,2519,Headlight,4,55.56,222.24
PO00278,1/2/2024,2519,Headlight,3,86.9,260.7
PO00279,1/2/2024,2519,Brake Pads,1,60.03,60.03
PO00280,1/27/2024,2519,Suspension Kit,3,258.7,776.1
PO00281,1/27/2024,2519,Turbocharger,2,1427.56,2855.12
PO00282,1/15/2024,2520,Coolant,4,37.44,149.76
PO00283,1/15/2024,2520,Oil Filter,3,11.85,35.55
PO00284,1/15/2024,2520,Belt,3,42.16,126.48
PO00285,1/4/2024,2520,Oil Filter,4,9.21,36.84
PO00286,1/4/2024,2520,Coolant,1,25.23,25.23
PO00287,1/17/2024,2520,Fuse,3,2.91,8.73
PO00288,1/8/2024,2520,Brake Pads,2,103.64,207.28
PO00289,1/8/2024,2520,Headlight,1,51.73,51.73
PO00290,1/8/2024,2520,Tire,2,490.14,980.28
PO00291,1/23/2024,2520,Fuse,1,5.84,5.84
PO00292,1/23/2024,2520,Fuel Filter,1,24.64,24.64
PO00293,1/25/2024,2520,Air Hose,2,35.81,71.62
PO00294,1/27/2024,2520,Headlight,2,55.31,110.62
PO00295,1/27/2024,2520,Belt,2,44.99,89.98
PO00296,1/27/2024,2520,Fuel Filter,2,11.11,22.22
PO00297,1/24/2024,2520,Fuse,1,9.47,9.47
PO00298,2/11/2024,2501,Engine Oil,4,73.66,294.64
PO00299,2/3/2024,2501,Brake Pads,1,139.93,139.93
PO00300,2/11/2024,2501,Belt,1,38.22,38.22
PO00301,2/11/2024,2501,Engine Oil,4,65.04,260.16
PO00302,2/11/2024,2501,Coolant,2,32.32,64.64
PO00303,2/12/2024,2501,Coolant,1,39.12,39.12
PO00304,2/12/2024,2501,Air Hose,4,15.93,63.72
PO00305,2/12/2024,2501,Headlight,1,50.28,50.28
PO00306,2/12/2024,2501,Air Hose,4,32.87,131.48
PO00307,2/17/2024,2501,Air Hose,2,20.06,40.12
PO00308,2/17/2024,2501,Brake Pads,1,83.5,83.5
PO00309,2/21/2024,2501,Air Hose,2,34.99,69.98
PO00310,2/21/2024,2501,Fuse,4,8.28,33.12
PO00311,2/25/2024,2502,Coolant,3,42.59,127.77
PO00312,2/25/2024,2502,Fuel Filter,3,16.94,50.82
PO00313,2/25/2024,2502,EGR Valve,2,229.48,458.96
PO00314,2/10/2024,2502,Headlight,2,83.24,166.48
PO00315,2/7/2024,2502,Tire,1,561.47,561.47
PO00316,2/7/2024,2502,Fuel Filter,4,17.52,70.08
PO00317,2/7/2024,2502,Fuse,4,8.28,33.12
PO00318,2/18/2024,2502,Oil Filter,3,11.87,35.61
PO00319,2/3/2024,2502,Suspension Kit,2,394.76,789.52
PO00320,2/3/2024,2502,Air Hose,4,25.28,101.12
PO00321,2/3/2024,2502,Fuel Filter,3,29.95,89.85
PO00322,2/3/2024,2502,Coolant,4,23.93,95.72
PO00323,2/3/2024,2502,Headlight,3,55.14,165.42
PO00324,2/22/2024,2503,Suspension Kit,2,384.87,769.74
PO00325,2/22/2024,2503,Brake Pads,1,71.92,71.92
PO00326,2/22/2024,2503,Tire,3,515.19,1545.57
PO00327,2/2/2024,2503,Fuse,4,6.79,27.16
PO00328,2/2/2024,2503,Suspension Kit,3,218.18,654.54
PO00329,2/2/2024,2503,Transmission Fluid,4,38.89,155.56
PO00330,2/13/2024,2503,Air Hose,3,30.31,90.93
PO00331,2/17/2024,2503,Suspension Kit,2,240.85,481.7
PO00332,2/17/2024,2503,Fuel Filter,2,29.44,58.88
PO00333,2/17/2024,2503,Oil Filter,2,5.21,10.42
PO00334,2/4/2024,2503,Engine Oil,3,60.3,180.9
PO00335,2/4/2024,2503,EGR Valve,1,157.83,157.83
PO00336,2/15/2024,2503,Air Filter,2,13.43,26.86
PO00337,2/15/2024,2503,Tire,1,565.72,565.72
PO00338,2/15/2024,2503,Suspension Kit,4,377.72,1510.88
PO00339,2/26/2024,2503,Fuse,1,4.39,4.39
PO00340,2/26/2024,2503,Fuel Filter,4,21.77,87.08
PO00341,2/26/2024,2503,Brake Pads,2,95.39,190.78
PO00342,2/14/2024,2503,Air Filter,4,16.75,67
PO00343,2/14/2024,2503,Transmission Fluid,2,32.77,65.54
PO00344,2/27/2024,2504,Fuse,1,6.48,6.48
PO00345,2/27/2024,2504,Air Hose,1,28.67,28.67
PO00346,2/27/2024,2504,Coolant,4,30.84,123.36
PO00347,2/14/2024,2504,Brake Pads,4,94.38,377.52
PO00348,2/3/2024,2504,Transmission Fluid,2,38.06,76.12
PO00349,2/3/2024,2504,Belt,1,21.68,21.68
PO00350,2/3/2024,2504,Tire,3,394.57,1183.71
PO00351,2/9/2024,2504,Headlight,4,58.18,232.72
PO00352,2/9/2024,2504,Tire,3,350.57,1051.71
PO00353,2/9/2024,2504,Belt,2,34.18,68.36
PO00354,2/18/2024,2504,Fuse,3,4.13,12.39
PO00355,2/18/2024,2504,Air Hose,3,21.17,63.51
PO00356,2/18/2024,2504,Fuel Filter,1,19.89,19.89
PO00357,2/13/2024,2504,Belt,2,24.29,48.58
PO00358,2/13/2024,2504,Suspension Kit,1,244.33,244.33
PO00359,2/2/2024,2504,EGR Valve,1,213.7,213.7
PO00360,2/2/2024,2504,Suspension Kit,3,365.57,1096.71
PO00361,2/3/2024,2504,Brake Pads,4,71.29,285.16
PO00362,2/3/2024,2504,Headlight,2,68.86,137.72
PO00363,2/5/2024,2504,Coolant,3,20.41,61.23
PO00364,2/5/2024,2504,Air Hose,3,38.44,115.32
PO00365,2/5/2024,2505,Air Filter,1,22.21,22.21
PO00366,2/5/2024,2505,Fuse,2,4.05,8.1
PO00367,2/28/2024,2505,EGR Valve,2,194.55,389.1
PO00368,2/19/2024,2505,Tire,1,528.65,528.65
PO00369,2/19/2024,2505,Air Hose,4,30.33,121.32
PO00370,2/13/2024,2505,Air Hose,3,24.9,74.7
PO00371,2/27/2024,2505,Coolant,2,27.77,55.54
PO00372,2/10/2024,2505,Transmission Fluid,2,56.2,112.4
PO00373,2/10/2024,2505,Oil Filter,4,8.99,35.96
PO00374,2/11/2024,2505,Air Filter,4,24.69,98.76
PO00375,2/12/2024,2506,Headlight,1,44.81,44.81
PO00376,2/12/2024,2506,EGR Valve,3,174.04,522.12
PO00377,2/12/2024,2506,Tire,4,321.68,1286.72
PO00378,2/17/2024,2506,Turbocharger,3,1232.63,3697.89
PO00379,2/17/2024,2506,Fuse,3,4.58,13.74
PO00380,2/17/2024,2506,Fuel Filter,4,16.19,64.76
PO00381,2/16/2024,2506,Suspension Kit,3,220.7,662.1
PO00382,2/28/2024,2506,Brake Pads,1,143.1,143.1
PO00383,2/4/2024,2506,Turbocharger,4,1115.66,4462.64
PO00384,2/4/2024,2506,Headlight,3,86.09,258.27
PO00385,2/14/2024,2506,Coolant,4,30.04,120.16
PO00386,2/14/2024,2506,EGR Valve,1,288.8,288.8
PO00387,2/14/2024,2506,Fuel Filter,4,14.26,57.04
PO00388,2/4/2024,2506,Turbocharger,2,1050.66,2101.32
PO00389,2/4/2024,2506,Engine Oil,4,40.52,162.08
PO00390,2/27/2024,2507,Belt,2,22.8,45.6
PO00391,2/27/2024,2507,Suspension Kit,1,330.37,330.37
PO00392,2/15/2024,2507,Transmission Fluid,3,58.71,176.13
PO00393,2/15/2024,2507,Coolant,1,47.52,47.52
PO00394,2/3/2024,2507,Transmission Fluid,4,47.87,191.48
PO00395,2/3/2024,2507,Headlight,2,78.11,156.22
PO00396,2/3/2024,2507,Turbocharger,1,818.89,818.89
PO00397,2/3/2024,2507,Engine Oil,3,34.98,104.94
PO00398,2/3/2024,2507,Fuse,3,8.74,26.22
PO00399,2/3/2024,2507,Suspension Kit,4,367.41,1469.64
PO00400,2/16/2024,2507,Tire,2,356.8,713.6
PO00401,2/16/2024,2507,Belt,4,22.18,88.72
PO00402,2/16/2024,2507,Suspension Kit,3,284.87,854.61
PO00403,2/8/2024,2507,Coolant,3,37.89,113.67
PO00404,2/12/2024,2507,Fuel Filter,2,12.99,25.98
PO00405,2/25/2024,2507,Turbocharger,3,1142.08,3426.24
PO00406,2/25/2024,2507,Air Filter,3,23.32,69.96
PO00407,2/9/2024,2507,Brake Pads,2,57.36,114.72
PO00408,2/9/2024,2507,Tire,2,330.01,660.02
PO00409,2/2/2024,2508,Engine Oil,1,58.11,58.11
PO00410,2/18/2024,2508,Turbocharger,1,1416.2,1416.2
PO00411,2/11/2024,2508,Engine Oil,4,46.3,185.2
PO00412,2/11/2024,2508,Tire,4,432.62,1730.48
PO00413,2/11/2024,2508,Transmission Fluid,1,53.02,53.02
PO00414,2/15/2024,2508,Belt,3,49.07,147.21
PO00415,2/15/2024,2508,Air Filter,4,17.26,69.04
PO00416,2/15/2024,2508,Fuse,3,6.5,19.5
PO00417,2/18/2024,2508,Air Hose,3,17.76,53.28
PO00418,2/1/2024,2508,Belt,2,20.95,41.9
PO00419,2/1/2024,2508,Turbocharger,3,888.13,2664.39
PO00420,2/1/2024,2508,Fuse,3,7.17,21.51
PO00421,2/26/2024,2508,Brake Pads,2,91.48,182.96
PO00422,2/26/2024,2508,Engine Oil,2,42.42,84.84
PO00423,2/26/2024,2508,Air Filter,2,20.57,41.14
PO00424,2/9/2024,2508,Coolant,3,35.62,106.86
PO00425,2/9/2024,2508,Fuse,4,7.28,29.12
PO00426,2/28/2024,2509,Coolant,3,44.97,134.91
PO00427,2/20/2024,2509,Engine Oil,3,30.68,92.04
PO00428,2/20/2024,2509,Belt,1,25.11,25.11
PO00429,2/9/2024,2509,Fuel Filter,4,10.8,43.2
PO00430,2/12/2024,2509,Turbocharger,3,890,2670
PO00431,2/12/2024,2509,Air Filter,2,17.34,34.68
PO00432,2/12/2024,2509,Coolant,3,41.25,123.75
PO00433,2/4/2024,2509,Fuel Filter,3,27.29,81.87
PO00434,2/4/2024,2509,Belt,1,41.06,41.06
PO00435,2/4/2024,2509,Suspension Kit,2,210.31,420.62
PO00436,2/12/2024,2509,Air Filter,4,22.57,90.28
PO00437,2/12/2024,2509,Coolant,3,35.55,106.65
PO00438,2/12/2024,2509,Fuse,3,9,27
PO00439,2/15/2024,2510,EGR Valve,2,202.48,404.96
PO00440,2/15/2024,2510,Transmission Fluid,1,59.16,59.16
PO00441,2/15/2024,2510,Tire,4,344.76,1379.04
PO00442,2/24/2024,2510,Coolant,2,32.76,65.52
