WorkOrderID,Date,TruckID,DriverID,IssueType,RepairReason,LaborHours,Mechanic,IsWarranty,VendorUsed,LaborCost,PartsCost,TotalCost
WO00049,1/1/2024,2505,5,Reactive,Check Engine Light,3.05,Lead_1,FALSE,FALSE,122,215.36,337.36
WO00050,1/6/2024,2505,5,Reactive,Turbo Failure,4.12,Assistant,FALSE,FALSE,90.64,358.83,449.47
WO00051,1/21/2024,2505,5,Reactive,Coolant Leak,2.47,Tech_1,FALSE,FALSE,79.04,172.29,251.33
WO00052,1/16/2024,2505,5,Preventative,Brake Pad Replacement,3.08,Vendor,FALSE,TRUE,0,158.15,158.15
WO00053,1/28/2024,2505,5,Reactive,Tire Repair,4.03,Tech_1,FALSE,FALSE,128.96,603.22,732.18
WO00054,1/5/2024,2505,5,Reactive,Roadside Repair,4.37,Assistant,FALSE,FALSE,96.14,771.62,867.76
WO00055,1/20/2024,2506,6,Preventative,Brake Pad Replacement,3.9,Lead_2,FALSE,FALSE,156,267.2,423.2
WO00056,1/18/2024,2506,6,Reactive,Check Engine Light,3.28,Lead_1,FALSE,FALSE,131.2,464.65,595.85
WO00057,1/24/2024,2506,6,Preventative,Brake Pad Replacement,1.93,Lead_1,FALSE,FALSE,77.2,218.25,295.45
WO00058,1/10/2024,2506,6,Reactive,Blown Tire - Curb Damage,3.29,Lead_2,FALSE,FALSE,131.6,567.94,699.54
WO00059,1/16/2024,2506,6,Reactive,Check Engine Light,2.18,Tech_1,FALSE,FALSE,69.76,219.84,289.6
WO00060,1/24/2024,2506,6,Reactive,Roadside Repair,2.51,Lead_1,FALSE,FALSE,100.4,642.67,743.07
WO00061,1/8/2024,2507,7,Reactive,Fuel System Issue,4.06,Lead_2,FALSE,FALSE,162.4,283.64,446.04
WO00062,1/28/2024,2507,7,Reactive,Check Engine Light,3.19,Lead_1,FALSE,FALSE,127.6,275.96,403.56
WO00063,1/26/2024,2507,7,Reactive,Check Engine Light,2.86,Tech_2,FALSE,FALSE,91.52,43.79,135.31
WO00064,1/20/2024,2507,7,Preventative,Oil Change,2.65,Tech_1,FALSE,FALSE,84.8,274.79,359.59
WO00065,1/8/2024,2507,7,Reactive,Suspension Issue,2.99,Tech_2,FALSE,FALSE,95.68,86.57,182.25
WO00066,1/13/2024,2507,7,Preventative,Brake Pad Replacement,3.3,Tech_1,FALSE,FALSE,105.6,127.92,233.52
WO00067,1/18/2024,2508,8,Reactive,Coolant Leak,3.68,Lead_2,FALSE,FALSE,147.2,231.25,378.45
WO00068,1/28/2024,2508,8,Reactive,Suspension Issue,1.24,Tech_1,FALSE,FALSE,39.68,83.08,122.76
WO00069,1/9/2024,2508,8,Reactive,Air Hose Leak,4.16,Vendor,FALSE,TRUE,0,365.03,365.03
WO00070,1/22/2024,2508,8,Reactive,Fuel System Issue,1.62,Lead_2,FALSE,FALSE,64.8,764.79,829.59
WO00071,1/7/2024,2508,8,Reactive,Electrical Fault,3.42,Tech_1,FALSE,FALSE,109.44,57.22,166.66
WO00072,1/26/2024,2508,8,Preventative,Tire Replacement,0.56,Lead_1,FALSE,FALSE,22.4,110.54,132.94
WO00073,1/5/2024,2508,8,Preventative,Oil Change,4.42,Assistant,FALSE,FALSE,97.24,156.76,254
WO00074,1/16/2024,2508,8,Preventative,Oil Change,2.39,Lead_2,FALSE,FALSE,95.6,155.1,250.7
WO00075,1/5/2024,2508,8,Preventative,Tire Replacement,3.04,Assistant,FALSE,FALSE,66.88,55.34,122.22
WO00076,1/10/2024,2508,8,Reactive,Electrical Fault,3.93,Lead_2,FALSE,FALSE,157.2,533.78,690.98
WO00077,1/16/2024,2509,9,Preventative,Oil Change,0.61,Lead_2,FALSE,FALSE,24.4,476.9,501.3
WO00078,1/27/2024,2509,9,Reactive,Transmission Trouble,2.79,Tech_2,FALSE,FALSE,89.28,120.23,209.51
WO00079,1/19/2024,2509,9,Reactive,Engine Overheating,3.78,Tech_2,FALSE,FALSE,120.96,528.16,649.12
WO00080,1/11/2024,2509,9,Preventative,Brake Pad Replacement,0.9,Vendor,FALSE,TRUE,0,34.21,34.21
WO00081,1/19/2024,2509,9,Reactive,Broken Headlight,3.12,Assistant,FALSE,FALSE,68.64,320.61,389.25
WO00082,1/10/2024,2509,9,Preventative,Oil Change,1.63,Lead_2,FALSE,FALSE,65.2,112.17,177.37
WO00083,1/21/2024,2509,9,Preventative,Tire Replacement,0.66,Tech_1,FALSE,FALSE,21.12,346,367.12
WO00084,1/25/2024,2509,9,Reactive,Check Engine Light,2.77,Lead_1,FALSE,FALSE,110.8,469.22,580.02
WO00085,1/3/2024,2509,9,Preventative,Tire Replacement,3.61,Lead_2,FALSE,FALSE,144.4,285.83,430.23
WO00086,1/5/2024,2510,10,Preventative,Brake Pad Replacement,3.46,Lead_1,FALSE,FALSE,138.4,205.82,344.22
WO00087,1/17/2024,2510,10,Reactive,Check Engine Light,2.06,Tech_1,FALSE,FALSE,65.92,252.16,318.08
WO00088,1/19/2024,2510,10,Preventative,Tire Replacement,4.12,Vendor,FALSE,TRUE,0,91.2,91.2
WO00089,1/7/2024,2510,10,Reactive,Roadside Repair,2.43,Tech_1,FALSE,FALSE,77.76,404.56,482.32
WO00090,1/16/2024,2510,10,Reactive,Tire Repair,1.81,Lead_1,FALSE,FALSE,72.4,544.56,616.96
WO00091,1/4/2024,2510,10,Reactive,Roadside Repair,0.95,Lead_2,FALSE,FALSE,38,746.12,784.12
WO00092,1/26/2024,2510,10,Preventative,Oil Change,2.27,Assistant,FALSE,FALSE,49.94,712.41,762.35
WO00093,1/11/2024,2510,10,Reactive,Fuel System Issue,3.25,Tech_1,FALSE,FALSE,104,672.83,776.83
WO00094,1/17/2024,2510,10,Preventative,Air Filter Replacement,3.3,Vendor,FALSE,TRUE,0,76.76,76.76
WO00095,1/18/2024,2510,10,Reactive,Blown Tire - Curb Damage,2.55,Vendor,FALSE,TRUE,0,201.92,201.92
WO00096,1/8/2024,2510,10,Preventative,Tire Replacement,3.75,Tech_2,FALSE,FALSE,120,758.85,878.85
WO00097,1/13/2024,2511,11,Reactive,Suspension Issue,0.83,Tech_2,FALSE,FALSE,26.56,626.17,652.73
WO00098,1/22/2024,2511,11,Reactive,Fuel System Issue,1.82,Lead_2,FALSE,FALSE,72.8,358.87,431.67
WO00099,1/13/2024,2511,11,Preventative,Oil Change,0.73,Tech_1,FALSE,FALSE,23.36,112.68,136.04
WO00100,1/9/2024,2511,11,Reactive,Suspension Issue,1.45,Lead_2,FALSE,FALSE,58,332.17,390.17
WO00101,1/28/2024,2511,11,Preventative,Brake Pad Replacement,1.39,Lead_2,FALSE,FALSE,55.6,771.31,826.91
WO00102,1/12/2024,2511,11,Reactive,Turbo Failure,1.79,Assistant,FALSE,FALSE,39.38,53.85,93.23
WO00103,1/11/2024,2512,12,Reactive,Roadside Repair,3.28,Assistant,FALSE,FALSE,72.16,78.84,151
WO00104,1/15/2024,2512,12,Reactive,Electrical Fault,2.32,Tech_1,FALSE,FALSE,74.24,509.5,583.74
WO00105,1/22/2024,2512,12,Preventative,Tire Replacement,4.16,Assistant,FALSE,FALSE,91.52,767.79,859.31
WO00106,1/16/2024,2512,12,Reactive,Blown Tire - Curb Damage,2.98,Tech_2,FALSE,FALSE,95.36,236.36,331.72
WO00107,1/28/2024,2512,12,Reactive,Electrical Fault,1.42,Assistant,FALSE,FALSE,31.24,227.43,258.67
WO00108,1/5/2024,2512,12,Reactive,Turbo Failure,3.29,Tech_2,FALSE,FALSE,105.28,438.16,543.44
WO00109,1/1/2024,2512,12,Preventative,Tire Replacement,1.58,Tech_1,FALSE,FALSE,50.56,123.88,174.44
WO00110,1/3/2024,2512,12,Reactive,Engine Overheating,3.4,Lead_2,FALSE,FALSE,136,498.46,634.46
WO00111,1/2/2024,2512,12,Preventative,Oil Change,2.71,Lead_2,FALSE,FALSE,108.4,148.57,256.97
WO00112,1/24/2024,2512,12,Preventative,Tire Replacement,4.45,Assistant,FALSE,FALSE,97.9,137.33,235.23
WO00113,1/26/2024,2513,13,Preventative,Tire Replacement,3.87,Tech_2,FALSE,FALSE,123.84,673.9,797.74
WO00114,1/2/2024,2513,13,Preventative,Oil Change,0.55,Vendor,FALSE,TRUE,0,78.78,78.78
WO00115,1/28/2024,2513,13,Reactive,Transmission Trouble,4.49,Lead_1,FALSE,FALSE,179.6,453.24,632.84
WO00116,1/5/2024,2513,13,Reactive,Fuel System Issue,2.01,Lead_1,FALSE,FALSE,80.4,208.05,288.45
WO00117,1/9/2024,2513,13,Preventative,Air Filter Replacement,2.92,Lead_2,FALSE,FALSE,116.8,198.34,315.14
WO00118,1/17/2024,2513,13,Reactive,Suspension Issue,1.57,Vendor,FALSE,TRUE,0,37.3,37.3
WO00119,1/26/2024,2513,13,Reactive,Coolant Leak,2.58,Tech_2,FALSE,FALSE,82.56,684.7,767.26
WO00120,1/22/2024,2513,13,Reactive,Turbo Failure,3.67,Vendor,FALSE,TRUE,0,480.17,480.17
WO00121,1/15/2024,2513,13,Reactive,Tire Repair,3.06,Lead_1,FALSE,FALSE,122.4,647.93,770.33
WO00122,1/7/2024,2513,13,Preventative,Air Filter Replacement,1.9,Vendor,FALSE,TRUE,0,480.14,480.14
WO00123,1/15/2024,2514,14,Reactive,Tire Repair,1.89,Tech_2,FALSE,FALSE,60.48,420.91,481.39
WO00124,1/24/2024,2514,14,Reactive,Roadside Repair,2.59,Assistant,FALSE,FALSE,56.98,564.16,621.14
WO00125,1/4/2024,2514,14,Reactive,Tire Repair,3.58,Tech_2,FALSE,FALSE,114.56,71.66,186.22
WO00126,1/5/2024,2514,14,Reactive,Turbo Failure,1.82,Assistant,FALSE,FALSE,40.04,514.05,554.09
WO00127,1/16/2024,2514,14,Preventative,Tire Replacement,2.34,Tech_1,FALSE,FALSE,74.88,476.12,551
WO00128,1/11/2024,2514,14,Preventative,Air Filter Replacement,1.23,Assistant,FALSE,FALSE,27.06,289.62,316.68
WO00129,1/3/2024,2514,14,Reactive,Blown Tire - Curb Damage,4.39,Lead_1,FALSE,FALSE,175.6,489.51,665.11
WO00130,1/19/2024,2514,14,Preventative,Oil Change,1.61,Lead_1,FALSE,FALSE,64.4,158.07,222.47
WO00131,1/21/2024,2514,14,Reactive,Check Engine Light,1.92,Assistant,FALSE,FALSE,42.24,717.49,759.73
WO00132,1/17/2024,2514,14,Reactive,Coolant Leak,0.66,Tech_1,FALSE,FALSE,21.12,643.54,664.66
WO00133,1/25/2024,2514,14,Reactive,Air Hose Leak,1.13,Tech_1,FALSE,FALSE,36.16,314.28,350.44
WO00134,1/26/2024,2515,15,Reactive,Blown Tire - Curb Damage,2.89,Vendor,FALSE,TRUE,0,789.28,789.28
WO00135,1/15/2024,2515,15,Preventative,Tire Replacement,2.97,Tech_1,FALSE,FALSE,95.04,307.75,402.79
WO00136,1/24/2024,2515,15,Reactive,Fuel System Issue,1.09,Vendor,FALSE,TRUE,0,123.83,123.83
WO00137,1/3/2024,2515,15,Reactive,Blown Tire - Curb Damage,2.63,Lead_2,FALSE,FALSE,105.2,103.59,208.79
WO00138,1/26/2024,2515,15,Preventative,Tire Replacement,0.92,Tech_2,FALSE,FALSE,29.44,595.18,624.62
WO00139,1/28/2024,2515,15,Preventative,Oil Change,1.35,Lead_1,FALSE,FALSE,54,275.45,329.45
WO00140,1/25/2024,2516,16,Reactive,Blown Tire - Curb Damage,3.22,Tech_1,FALSE,FALSE,103.04,635.55,738.59
WO00141,1/13/2024,2516,16,Reactive,Tire Repair,3.45,Assistant,FALSE,FALSE,75.9,455.04,530.94
WO00142,1/8/2024,2516,16,Reactive,Tire Repair,1.64,Vendor,FALSE,TRUE,0,303.2,303.2
WO00143,1/26/2024,2516,16,Reactive,Broken Headlight,2.49,Assistant,FALSE,FALSE,54.78,277.67,332.45
WO00144,1/25/2024,2516,16,Preventative,Brake Pad Replacement,1.11,Vendor,FALSE,TRUE,0,211.85,211.85
WO00145,1/4/2024,2516,16,Reactive,Engine Overheating,3.72,Vendor,FALSE,TRUE,0,63.41,63.41
WO00146,1/9/2024,2516,16,Preventative,Oil Change,2.14,Assistant,FALSE,FALSE,47.08,786.26,833.34
WO00147,1/6/2024,2516,16,Preventative,Tire Replacement,3.96,Assistant,FALSE,FALSE,87.12,657.32,744.44
WO00148,1/17/2024,2516,16,Reactive,Coolant Leak,3.78,Lead_2,FALSE,FALSE,151.2,580.4,731.6
WO00149,1/8/2024,2517,17,Reactive,Tire Repair,1.32,Lead_2,FALSE,FALSE,52.8,775.04,827.84
WO00150,1/4/2024,2517,17,Reactive,Tire Repair,1.47,Tech_1,FALSE,FALSE,47.04,109.57,156.61
WO00151,1/26/2024,2517,17,Reactive,Suspension Issue,2.52,Vendor,FALSE,TRUE,0,746.97,746.97
WO00152,1/13/2024,2517,17,Reactive,Check Engine Light,1.85,Vendor,FALSE,TRUE,0,124.84,124.84
WO00153,1/23/2024,2517,17,Reactive,Check Engine Light,3.24,Assistant,FALSE,FALSE,71.28,88.54,159.82
WO00154,1/5/2024,2517,17,Preventative,Oil Change,2.39,Vendor,FALSE,TRUE,0,492.76,492.76
WO00155,1/3/2024,2517,17,Preventative,Tire Replacement,3.82,Assistant,FALSE,FALSE,84.04,772.72,856.76
WO00156,1/14/2024,2517,17,Reactive,Roadside Repair,1.32,Tech_1,FALSE,FALSE,42.24,315.8,358.04
WO00157,1/8/2024,2518,18,Reactive,Fuel System Issue,3.63,Vendor,FALSE,TRUE,0,665.79,665.79
WO00158,1/5/2024,2518,18,Preventative,Brake Pad Replacement,1.16,Lead_1,FALSE,FALSE,46.4,655.37,701.77
WO00159,1/27/2024,2518,18,Reactive,Electrical Fault,1.76,Lead_1,FALSE,FALSE,70.4,478.88,549.28
WO00160,1/18/2024,2518,18,Reactive,Transmission Trouble,2.01,Tech_1,FALSE,FALSE,64.32,380.89,445.21
WO00161,1/6/2024,2518,18,Reactive,Check Engine Light,2.81,Tech_1,FALSE,FALSE,89.92,297.18,387.1
WO00162,1/15/2024,2518,18,Preventative,Tire Replacement,4.13,Lead_2,FALSE,FALSE,165.2,506.91,672.11
WO00163,1/6/2024,2519,19,Reactive,Roadside Repair,1.84,Lead_1,FALSE,FALSE,73.6,128.63,202.23
WO00164,1/15/2024,2519,19,Reactive,Blown Tire - Curb Damage,3.47,Lead_2,FALSE,FALSE,138.8,467.06,605.86
WO00165,1/6/2024,2519,19,Reactive,Suspension Issue,3.61,Assistant,FALSE,FALSE,79.42,131.64,211.06
WO00166,1/4/2024,2519,19,Reactive,Check Engine Light,4.01,Lead_1,FALSE,FALSE,160.4,286.82,447.22
WO00167,1/6/2024,2519,19,Reactive,Check Engine Light,2.33,Lead_1,FALSE,FALSE,93.2,491.09,584.29
WO00168,1/15/2024,2519,19,Reactive,Transmission Trouble,1.42,Vendor,FALSE,TRUE,0,583.36,583.36
WO00169,1/2/2024,2519,19,Preventative,Oil Change,2.76,Lead_1,FALSE,FALSE,110.4,578.62,689.02
WO00170,1/27/2024,2519,19,Preventative,Tire Replacement,4.13,Assistant,FALSE,FALSE,90.86,475.05,565.91
WO00171,1/15/2024,2520,20,Preventative,Brake Pad Replacement,4.15,Lead_2,FALSE,FALSE,166,128.51,294.51
WO00172,1/18/2024,2520,20,Reactive,Broken Headlight,3.99,Vendor,FALSE,TRUE,0,747.05,747.05
WO00173,1/4/2024,2520,20,Reactive,Roadside Repair,0.59,Tech_2,FALSE,FALSE,18.88,528.07,546.95
WO00174,1/17/2024,2520,20,Reactive,Check Engine Light,2.2,Assistant,FALSE,FALSE,48.4,594.43,642.83
WO00175,1/8/2024,2520,20,Reactive,Engine Overheating,0.99,Lead_2,FALSE,FALSE,39.6,204.01,243.61
WO00176,1/26/2024,2520,20,Reactive,Engine Overheating,4.18,Vendor,FALSE,TRUE,0,698.52,698.52
WO00177,1/23/2024,2520,20,Preventative,Brake Pad Replacement,2.02,Assistant,FALSE,FALSE,44.44,600.51,644.95
WO00178,1/10/2024,2520,20,Reactive,Transmission Trouble,1.83,Vendor,FALSE,TRUE,0,330.57,330.57
WO00179,1/25/2024,2520,20,Reactive,Blown Tire - Curb Damage,2.36,Tech_2,FALSE,FALSE,75.52,395.05,470.57
WO00180,1/27/2024,2520,20,Reactive,Tire Repair,2.31,Lead_2,FALSE,FALSE,92.4,129.87,222.27
WO00181,1/24/2024,2520,20,Reactive,Check Engine Light,0.64,Assistant,FALSE,FALSE,14.08,262.95,277.03
WO00182,1/11/2024,2520,20,Reactive,Electrical Fault,3.15,Vendor,FALSE,TRUE,0,158.87,158.87
WO00183,1/9/2024,2521,21,Preventative,Air Filter Replacement,2.16,Tech_1,TRUE,FALSE,0,0,0
WO00184,1/28/2024,2521,21,Reactive,Check Engine Light,1.24,Tech_2,TRUE,FALSE,0,0,0
WO00185,1/7/2024,2521,21,Reactive,Broken Headlight,0.77,Tech_1,TRUE,FALSE,0,0,0
WO00186,1/23/2024,2521,21,Reactive,Tire Repair,3.7,Tech_2,TRUE,FALSE,0,0,0
WO00187,1/17/2024,2521,21,Preventative,Oil Change,2.39,Assistant,TRUE,FALSE,0,0,0
WO00188,1/8/2024,2521,21,Reactive,Broken Headlight,1.68,Tech_2,TRUE,FALSE,0,0,0
WO00189,1/19/2024,2521,21,Reactive,Tire Repair,2.6,Lead_1,TRUE,FALSE,0,0,0
WO00190,1/28/2024,2521,21,Reactive,Coolant Leak,2.49,Lead_2,TRUE,FALSE,0,0,0
WO00191,1/19/2024,2521,21,Preventative,Air Filter Replacement,1.23,Lead_2,TRUE,FALSE,0,0,0
WO00192,1/23/2024,2522,22,Reactive,Roadside Repair,1.99,Lead_1,TRUE,FALSE,0,0,0
WO00193,1/10/2024,2522,22,Reactive,Blown Tire - Curb Damage,2.61,Tech_1,TRUE,FALSE,0,0,0
WO00194,1/1/2024,2522,22,Preventative,Oil Change,1.12,Lead_1,TRUE,FALSE,0,0,0
WO00195,1/18/2024,2522,22,Reactive,Blown Tire - Curb Damage,2.13,Assistant,TRUE,FALSE,0,0,0
WO00196,1/25/2024,2522,22,Preventative,Brake Pad Replacement,1.42,Assistant,TRUE,FALSE,0,0,0
WO00197,1/27/2024,2522,22,Reactive,Coolant Leak,2.88,Lead_2,TRUE,FALSE,0,0,0
WO00198,1/25/2024,2522,22,Reactive,Transmission Trouble,1.21,Assistant,TRUE,FALSE,0,0,0
WO00199,1/1/2024,2522,22,Reactive,Check Engine Light,3.38,Lead_2,TRUE,FALSE,0,0,0
WO00200,1/3/2024,2522,22,Preventative,Brake Pad Replacement,3.39,Lead_1,TRUE,FALSE,0,0,0
WO00201,1/24/2024,2522,22,Reactive,Transmission Trouble,4.35,Lead_1,TRUE,FALSE,0,0,0
WO00202,1/5/2024,2523,23,Preventative,Air Filter Replacement,2.13,Lead_1,TRUE,FALSE,0,0,0
WO00203,1/23/2024,2523,23,Reactive,Blown Tire - Curb Damage,0.55,Lead_2,TRUE,FALSE,0,0,0
WO00204,1/7/2024,2523,23,Reactive,Fuel System Issue,3.89,Lead_1,TRUE,FALSE,0,0,0
WO00205,1/16/2024,2523,23,Preventative,Brake Pad Replacement,2.83,Lead_1,TRUE,FALSE,0,0,0
WO00206,1/28/2024,2523,23,Reactive,Fuel System Issue,4.14,Tech_1,TRUE,FALSE,0,0,0
WO00207,1/5/2024,2523,23,Preventative,Tire Replacement,1.54,Lead_1,TRUE,FALSE,0,0,0
WO00208,1/2/2024,2523,23,Preventative,Tire Replacement,0.64,Assistant,TRUE,FALSE,0,0,0
WO00209,1/20/2024,2523,23,Reactive,Electrical Fault,2.14,Lead_2,TRUE,FALSE,0,0,0
WO00210,1/9/2024,2523,23,Reactive,Tire Repair,1.68,Tech_1,TRUE,FALSE,0,0,0
WO00211,1/26/2024,2524,24,Reactive,Suspension Issue,1.06,Tech_2,TRUE,FALSE,0,0,0
WO00212,1/10/2024,2524,24,Reactive,Check Engine Light,4.44,Lead_2,TRUE,FALSE,0,0,0
WO00213,1/23/2024,2524,24,Reactive,Transmission Trouble,2.2,Assistant,TRUE,FALSE,0,0,0
WO00214,1/19/2024,2524,24,Reactive,Coolant Leak,3.47,Lead_2,TRUE,FALSE,0,0,0
WO00215,1/2/2024,2524,24,Reactive,Electrical Fault,1.53,Assistant,TRUE,FALSE,0,0,0
WO00216,1/22/2024,2524,24,Reactive,Electrical Fault,2.19,Assistant,TRUE,FALSE,0,0,0
WO00217,1/26/2024,2524,24,Reactive,Coolant Leak,1.19,Tech_2,TRUE,FALSE,0,0,0
WO00218,1/23/2024,2524,24,Reactive,Air Hose Leak,3.79,Lead_2,TRUE,FALSE,0,0,0
WO00219,1/21/2024,2524,24,Reactive,Transmission Trouble,2.49,Tech_2,TRUE,FALSE,0,0,0
WO00220,1/17/2024,2525,25,Preventative,Tire Replacement,2.49,Tech_2,TRUE,FALSE,0,0,0
WO00221,1/12/2024,2525,25,Preventative,Brake Pad Replacement,0.54,Lead_2,TRUE,FALSE,0,0,0
WO00222,1/21/2024,2525,25,Preventative,Brake Pad Replacement,1.57,Lead_1,TRUE,FALSE,0,0,0
WO00223,1/27/2024,2525,25,Reactive,Broken Headlight,2.9,Lead_1,TRUE,FALSE,0,0,0
WO00224,1/25/2024,2525,25,Reactive,Coolant Leak,2.79,Tech_2,TRUE,FALSE,0,0,0
WO00225,1/17/2024,2525,25,Preventative,Tire Replacement,2.03,Tech_1,TRUE,FALSE,0,0,0
WO00226,1/26/2024,2525,25,Reactive,Tire Repair,1.92,Tech_2,TRUE,FALSE,0,0,0
WO00227,2/11/2024,2501,1,Preventative,Brake Pad Replacement,3.58,Vendor,FALSE,TRUE,0,73.23,73.23
